;T [K];p [bar];rho [kg/m3]
0;753.3;92.10;64.79
1;727.7;86.45;61.56
2;720.2;81.09;58.45
3;712.4;76.01;55.47
4;704.6;71.20;52.62
5;696.8;66.65;49.87
6;688.8;62.35;47.24
7;681.1;58.28;44.71
8;673.7;54.44;42.26
9;665.8;50.81;39.95
10;658.2;47.39;37.72
11;650.6;44.16;35.58
12;643.2;41.12;33.54
13;635.5;38.26;31.6
14;628.1;35.57;29.74
15;620.8;33.04;27.95
16;613.3;30.66;26.27
17;605.2;28.43;24.68
18;597.1;26.33;23.18
19;589.3;24.36;21.74
20;580.7;22.52;20.39
21;572.4;20.79;19.11
22;564.3;19.17;17.88
23;556.0;17.66;16.71
24;547.5;16.25;15.62
25;539.2;14.93;14.57
26;530.7;13.70;13.59
27;522.3;12.56;12.65
28;513.8;11.49;11.77
29;505.6;10.50;10.93
30;496.9;9.581;10.15
31;488.3;8.729;9.406
32;479.9;7.940;8.704
